1,INGENIERÍA
2,LICENCIATURA
3,MAESTRÍA
4,DIPLOMADO
5,ESPECIALIDAD
6,DOCTORADO
7,BACHILLERATO
8,TÉCNICO
9,OTRO
10,SECUNDARIA
11,PRIMARIA
12,POSGRADO
